維度,代碼,中文
策略,emd,優良素材衍生
策略,model,模板
策略,gift,送禮
策略,test,先行測試
策略,inads,in點廣告
策略,ai,AI
策略,share,專案共享
策略,kol,KOL
策略,vt,Vtuber
策略,tvcf,電視廣告
策略,film,實拍短影音
策略,refer,競品參考
策略,pre,預熱
策略,ugc,UGC
策略,festiv,節慶賽事
策略,localvendor,在地廠商
策略,aics,AI構圖
策略,typhoon,颱風圖
策略,topup,儲值活動
策略,winreplay,大獎回放
策略,trends,時事迷因
策略,remark,再行銷
策略,veo,GoogleVeo3
策略,koc,KOC
策略,hooktest,鉤子測試
策略,cashouts,真金文案
策略,endorser,代言人
策略,mahjongquiz,麻將猜牌
策略,amateur,素人
策略,ytbg,YT封面
策略,safe,安全廣告
風格/手法,bg,賭場氛圍
風格/手法,asia,中國風
風格/手法,usa,歐美風
風格/手法,soreeyes,辣眼睛
風格/手法,comp,合輯廣告
風格/手法,3x3,盤面3x3
風格/手法,animal,動物
風格/手法,treasurepot,聚寶盆
風格/手法,chips,籌碼
風格/手法,textads,文案廣告
風格/手法,sp,微動態
風格/手法,story,劇情
風格/手法,cta,行動呼籲
風格/手法,build,建造系統
風格/手法,space,太空賽道
風格/手法,levelup,角色成長
風格/手法,bonus,獎勵遊戲
風格/手法,scene,場景
風格/手法,newhero,新英雄
風格/手法,phone,手持手機
風格/手法,kv,形象KV
風格/手法,real,真實畫面
風格/手法,fail,失敗輸錢
風格/手法,specs,完整規格
風格/手法,retro,復古風
風格/手法,match,消消樂手法
風格/手法,select,選擇互動
風格/手法,choose,選擇互動
風格/手法,frame,大機框
風格/手法,finger,手指
風格/手法,quickcut,運鏡快剪
風格/手法,beauty,美女
風格/手法,table,賭桌
風格/手法,vs,對決
風格/手法,coins,金幣
風格/手法,voice,配人聲
風格/手法,trio,三色規格
風格/手法,collab,聯名
風格/手法,fg,免費遊戲
風格/手法,role,角色
風格/手法,orig,原始序號
風格/手法,pv,宣傳影片
風格/手法,game,遊戲畫面剪輯
風格/手法,dialogue,視窗對話
風格/手法,button,按鈕
風格/手法,ingame,平台活動
風格/手法,win,最後爆獎
風格/手法,specialgm,特殊機制
風格/手法,fakead,假廣告
風格/手法,highlights,直播精華
風格/手法,cute,Q版
風格/手法,scrollingtext,跑馬燈
風格/手法,slogan,品牌標語
風格/手法,mascot,吉祥物
風格/手法,cuteslidingpuzzle,動物滑塊
風格/手法,thirdpartypayment,第三方支付
風格/手法,gamble,賭徒文案
風格/手法,single,孤單文案
風格/手法,malaysia,馬來文案
風格/手法,recharge,儲值渠道
風格/手法,realcash,現金網
風格/手法,casual,休閒小遊戲
風格/手法,men,男
風格/手法,women,女
風格/手法,black,黑人
風格/手法,white,白人
風格/手法,old,老人
風格/手法,young,年輕人
風格/手法,btd,大三元剪輯
風格/手法,pov,主觀鏡頭
風格/手法,pachinstyle,柏青化
風格/手法,pitysystem,天井
風格/手法,apologyletter,道歉信
風格/手法,expression,情緒表現
風格/手法,engage,互動
風格/手法,scary,恐怖
人物,zhengtai,正太
人物,kio,KIO
人物,yuuka,鈴木優香
人物,shion,杯子妹
人物,mitan,迷片妹
人物,arikan,阿力肯
人物,jewelrry,釣魚妹
人物,uehara,上原亞衣
人物,yudetama,水煮蛋妹
人物,nanacha,胖茶
人物,yukitaiyou,yuki
人物,kono,kono
人物,naru,なるなる
人物,tamakich,環TAMAKI
人物,bkeiba,さなびっち
人物,iyochan,いよちゃん
人物,ningning,寧寧
人物,nightdrizzle,夜雨
人物,zuyu,子瑜小惡魔
人物,kuromu,庫洛姆
人物,shimapachi,しまぱち
人物,eimi,深田詠美
人物,tsaiaga,蔡阿嘎
人物,kawakitasaika,河北彩花
人物,amemiya,雨宮天
人物,hanazawa,花澤香菜
人物,kiruha,キルハ
人物,inariiroha,稲荷いろは
人物,koinoyamai,恋乃夜まい
人物,hanahealthy,花守
人物,amausyrup,天羽しろっぷ
人物,kuroikemomimi,くろいけもみみ
人物,sho_time,大谷翔平
人物,thaovy,越南代言人
人物,hoyeahgirl,猴爺女孩
人物,yoshi,Yoshi
人物,realman,真人實拍
遊戲類型,fish,魚機 FISH
遊戲類型,slot,老虎機 SLOT
遊戲類型,pachin,柏青斯洛 PACHIN
遊戲類型,pachinko,柏青斯洛 PACHIN
主題,3COIN,
主題,3CoinTreasure2,
主題,3PotBuffalo,
主題,4TuneeverPhoenix,
主題,5PK,
主題,6PK,
主題,777,
主題,7PK,
主題,ACG,
主題,AFDay,
主題,ANN,
主題,AceWings,
主題,Aladdin,
主題,AngryChickens,
主題,AntarcticExplorer,
主題,AscentChargeBuffalo,
主題,Aztec,
主題,Ball,
主題,Balrog,
主題,Baseball,
主題,Baseball777,
主題,BattleGirl,
主題,BigHotDumplingPots,
主題,BigRoarrr,
主題,Bingo,
主題,BlockPuzzle,
主題,Bonus,
主題,Boxing,
主題,Branding,
主題,BubuCASINO,
主題,Buddha,
主題,Buffalo,
主題,BuffaloStampede,
主題,Build,
主題,CASH888,
主題,CMlobby,
主題,CNNY,
主題,CakeBonanza,
主題,Cash,
主題,Chama,
主題,Chang_e,
主題,CheekyShark,
主題,ChiliFiesta,
主題,ChiliWaltz,
主題,ChioTian,
主題,Circus,
主題,Classic,
主題,Cointroi,
主題,Cow,
主題,Cupid,
主題,DBF,
主題,DINOSAUR,
主題,DRAGONVALOUR,
主題,DayOfTheDead,
主題,DiamondCrush,
主題,Diaochan,
主題,Dimand,
主題,Dorado,
主題,Dragon,
主題,DragonDrum,
主題,DragonFury,
主題,DragonGate,
主題,DragonTrain,
主題,DragonTreasure,
主題,Dragons,
主題,Egypt,
主題,EgyptEternal,
主題,FIFA,
主題,FaFaFa,
主題,Festival,
主題,Fight,
主題,Firecracker,
主題,FirstEmperorplus,
主題,Flower,
主題,FongShen,
主題,FortuneGems3,
主題,FreedomStars,
主題,Frostwolf,
主題,Fruit,
主題,Fuxing,
主題,GDEgg,
主題,GDGodofWealth,
主題,GWeek,
主題,Genies,
主題,GoNuts,
主題,God,
主題,GodofWealth,
主題,Goku,
主題,GoldCow,
主題,GoldRabbit,
主題,GoldenEmpire,
主題,GoldenValor,
主題,Goldinbetween,
主題,Halloween,
主題,Hammerin,
主題,HappyBingo,
主題,HighRoad,
主題,HoYeahFish,
主題,Horse,
主題,HouYi,
主題,Hoyeah2,
主題,IPGirlfriend,
主題,IPGodfather,
主題,IPHedgehog,
主題,IPLANLANCAT,
主題,IPSFII,
主題,IPTeaFoxDaruma,
主題,IPnekonokan,
主題,IPrichman,
主題,InfernoOverlord,
主題,InfinityWheel,
主題,ItemBattle,
主題,Jellyfish,
主題,July4,
主題,KOF,
主題,LIONDANCE,
主題,LKFISH,
主題,LeprechaunBingo,
主題,Levelup,
主題,LichRealm,
主題,LightningZeus,
主題,Lobster,
主題,Lock,
主題,LuckyBingo,
主題,LuckyCat,
主題,LuckyFireworks2,
主題,LuckyFortune4ex,
主題,LuckyJaguar,
主題,Luckyfireworks,
主題,LyuBu,
主題,MagicFirework,
主題,Maitreya,
主題,Mario,
主題,MatchGame,
主題,Mazu,
主題,MechaJaeger,
主題,MegaFishing,
主題,Momotaro,
主題,MoneyTree,
主題,Monkey,
主題,MonkeyThunderbolt,
主題,Monster,
主題,MrFortune,
主題,Mumymia,
主題,MysticEmpire,
主題,NewHero,
主題,NewYear,
主題,OFIP,
主題,OUMI4,
主題,OceanKingJackpot,
主題,OrcFighte,
主題,PigTreasure,
主題,Planet,
主題,PolarRoar,
主題,Pot,
主題,ROULETTE,
主題,RagingDragon,
主題,Ragnarok,
主題,Ranking,
主題,RedCliff,
主題,RichNiuNiu,
主題,RobinHood,
主題,Rocket888,
主題,Rockeyt,
主題,RomaX,
主題,Rooster,
主題,Rummy,
主題,SHARKYSHAKER,
主題,SRDragon,
主題,Sadako,
主題,Santa,
主題,Scene,
主題,Scratch,
主題,Seth,
主題,Seth2,
主題,SichuanOpera,
主題,SinCity,
主題,SlideNow,
主題,SlotCrab,
主題,South,
主題,Space,
主題,SunWukong,
主題,Super8,
主題,SuperAce,
主題,SuperBowl,
主題,SweetMagic,
主題,T3K,
主題,TDSicBo,
主題,TICKET,
主題,Texas,
主題,TexasPoker,
主題,Thanksgiving,
主題,Thor,
主題,ThorHammer,
主題,ThorHammer2,
主題,ThreeHeroes,
主題,ThunderBlitz,
主題,ThunderDragon,
主題,Train,
主題,Transform,
主題,Treasure,
主題,TwoDragons,
主題,V4Jellyfish,
主題,VDay,
主題,VermBird,
主題,WBTD,
主題,West,
主題,WheelOfDiamond,
主題,WhiteTiger,
主題,WinterIsComing,
主題,WolfMoon,
主題,Xmas,
主題,XmasTree,
主題,YaBoyKongming,
主題,Yellow,
主題,Yoshimune,
主題,Yoshimune4,
主題,ZCXS,
主題,Zeus,
主題,Zeus2,
主題,chicken,
主題,dragon3,
主題,mahjong3,
主題,squid,
主題,sweetbear,
主題,the3littlepigs,
主題,the3littlepigs2,
